"query","search interest","increase percent"
"mimo-v2-pro",16,"Breakout"
"mimo v2",13,"Breakout"
"xiaomi ai",13,"Breakout"
"mimo v2 pro",10,"Breakout"
"xiaomi mimo-v2-pro",7,"Breakout"
"小米 mimo",5,"Breakout"
"xiaomi mimo v2",5,"Breakout"
"xiaomi mimo v2 pro",4,"Breakout"
"小米 模型",4,"Breakout"
"小米 大 模型",3,"Breakout"
"pax historia",2,"Breakout"
"hunteralpha",2,"Breakout"
"glm5",1,"Breakout"
"ハンター アルファ",1,"Breakout"
"mimov2",1,"Breakout"
"llm leaderboard",1,"Breakout"
"nemoclaw",1,"Breakout"
"minimax 2.7",1,"Breakout"
"hermes agent",1,"Breakout"
"mimo v2 omni",1,"Breakout"
"xiaomi",36,"1,350%"
"hunter alpha xiaomi",35,"1,200%"
"xiaomi mimo",10,"550%"
"mimo",28,"350%"
"minimax m2.7",2,"200%"
"minimax ai",3,"150%"
"artificial analysis",2,"150%"
"minimax",9,"110%"
"reuters",21,"90%"
"cursor",2,"80%"
"deepseek news",3,"60%"
"hunter ai",100,"50%"
"ai",99,"50%"
"hunter alpha ai",98,"50%"
"openclaw github",1,"40%"
"llm arena",1,"40%"
"openrouter ai",19,"30%"
"janitor ai",4,"30%"
"minimax m2.5",2,"30%"
"mimo v2 flash",1,"30%"
"step 3.5 flash",3,"30%"
"ai news",6,"20%"
"glm 5",3,"20%"
"mistral",2,"20%"
"open router ai",2,"20%"
"step 3.5",3,"10%"
"github",10,"10%"
"codex",3,"9%"
"openrouter/hunter-alpha",2,"8%"
"open claw",2,"4%"